API NUMBER,Lat_Wellhead,Lon_Wellhead,Top_Perfs_MD,Lat_length,Fluid,Proppant,Max_Gas,Proppant_per_Ft,Fluid_per_Ft,Max_Gas_per_Ft
3.02911E+12,35.2822,-92.5631,6709,5168,108337,3466988,606807,670.8568111,20.9630418,117.4162152
3.02911E+12,35.4045,-92.7824,4271,5017,158042,9422521,672183,1878.118597,31.50129559,133.9810644
3.14111E+12,35.518,-92.5845,2652,4458,103524,3463005,446679,776.8068641,23.22207268,100.1971736
3.14112E+12,35.4274,-92.478,3908,4899,89541,3912919,978749,798.7179016,18.27740355,199.7854664
3.14112E+12,35.4629,-92.3673,3804,6235,113162,5091716,865174,816.6344828,18.14947875,138.7608661
3.14112E+12,35.4999,-92.5491,2998,4557,104883,3522995,413731,773.0952381,23.01579987,90.79021286
3.04511E+12,35.3237,-92.4595,5503,7982,154679,7936506,910329,994.300426,19.37847657,114.0477324
3.0291E+12,35.387,-92.5849,4384,3158,56447,2730000,697749,864.4711843,17.87428752,220.9464851
3.02911E+12,35.3274,-92.6278,5620,4030,134764,3528904,471149,875.6585608,33.44019851,116.9104218
3.02911E+12,35.3011,-92.6723,6020,3890,117815,3577720,447570,919.722365,30.28663239,115.0565553
3.0291E+12,35.3837,-92.4827,5032,3481,83831,3213313,391707,923.1005458,24.08244757,112.5271474
3.1411E+12,35.4181,-92.3033,4452,3728,82521.80952,3015440,607980,808.8626609,22.13567852,163.0847639
3.1411E+12,35.3765,-92.4543,4678,4142,87311,3563400,494263,860.3090295,21.07943023,119.3295509
3.1411E+12,35.4985,-92.5406,2784,3196,68417,2779992,459687,869.8347935,21.40707134,143.8319775
3.14111E+12,35.4088,-92.3689,5457,4401,126585,3522837,469058,800.4628494,28.76278119,106.5798682
3.14112E+12,35.4129,-92.4718,3701,4560,104953,3530294,605278,774.1872807,23.01600877,132.7364035
3.14112E+12,35.4513,-92.3486,4238,3159,94253,2746199,635810,869.3254194,29.83634061,201.269389
3.14112E+12,35.4754,-92.6869,2853,3432,65630,3026979,460727,881.9868881,19.12296037,134.2444639
3.14111E+12,35.4843,-92.5168,2791,3126,115545,2957749,443653,946.1769034,36.96257198,141.9235445
3.14111E+12,35.473,-92.5704,2617,3971,100966,3252667,536072,819.1052632,25.42583732,134.9967263
3.14111E+12,35.5296,-92.4464,2260,3390,110006,1468800,356702,433.2743363,32.45014749,105.2218289
3.14112E+12,35.4306,-92.4474,4121,4185,59963,2741070,794019,654.9749104,14.32807646,189.7297491
3.1451E+12,35.4265,-91.6252,3794,3142,119318,3323072,710202,1057.629535,37.97517505,226.0350095
3.14111E+12,35.3693,-92.4123,4822,5927,196215,5227167,770472,881.9245824,33.10528092,129.9935887
3.1451E+12,35.2712,-91.9432,5815,4134,49148,2040267,235201,493.5333817,11.88872762,56.89429124
3.14511E+12,35.3753,-91.7566,4274,3976,97824,4052465,397253,1019.23164,24.60362173,99.91272636
3.14111E+12,35.4262,-92.367,4352,5540,160742,4317834,544910,779.3924188,29.01480144,98.35920578
3.14111E+12,35.427,-92.3739,4625,3686,122992,3098660,729330,840.6565383,33.36733587,197.8648942
3.14112E+12,35.4271,-92.3742,4713,3446,83654,2732757,571913,793.0229251,24.27568195,165.9643064
3.14112E+12,35.5352,-92.5091,2741,4825,95228,3435513,608211,712.0234197,19.73637306,126.0540933
3.14112E+12,35.3814,-92.4755,4641,7713,137414,7112036,770829,922.0842733,17.81589524,99.93893427
3.14111E+12,35.4956,-92.3654,3981,3856,113248,3130201,522090,811.7741183,29.36929461,135.3967842
3.14111E+12,35.4735,-92.5896,2772,2778,70453,2323547,535984,836.4100072,25.36105112,192.9388049
3.14112E+12,35.4305,-92.4476,3548,4083,80349,3513967,805451,860.6336027,19.67891256,197.2694097
3.14111E+12,35.5698,-92.3619,2835,4122,144077,4410420,537233,1069.970888,34.95317807,130.3330907
3.14111E+12,35.4145,-92.3246,4506,5898,131788,4680363,812886,793.5508647,22.34452357,137.8240081
3.14111E+12,35.4403,-92.4369,4488,5843,122221,4302704,725444,736.386103,20.91750813,124.1560842
3.14112E+12,35.4656,-92.3518,3818,4613,80537,3525203,874240,764.1888142,17.45870366,189.5165836
3.1451E+12,35.3406,-91.754,4584,3747,73062,3554350,621516,948.5855351,19.49879904,165.8702962
3.14111E+12,35.4946,-92.5104,2593,2358,35760.85714,1851480,280254,785.1908397,15.16575791,118.8524173
3.14111E+12,35.482,-92.4479,3739,4376,10863,321919,550495,73.56467093,2.482404022,125.7986746
3.14111E+12,35.5403,-92.4195,2370,3880,86226,3129088,727614,806.4659794,22.22319588,187.5293814
3.14511E+12,35.272,-91.9709,6160,4542,190454,5278510,482016,1162.155438,41.93174813,106.1241744
3.14112E+12,35.395,-92.3686,5042,3856,97622,3119594,649809,809.0233402,25.31690871,168.5189315
3.14112E+12,35.5419,-92.5078,2571,4666,104963,3522105,438626,754.8446207,22.49528504,94.00471496
3.14112E+12,35.3798,-92.4424,4655,3801,73209,4531424,732386,1192.166272,19.26045777,192.682452
3.14511E+12,35.4155,-91.7928,3961,4382,113610,4496840,475370,1026.207211,25.92651757,108.4824281
3.14112E+12,35.5227,-92.2526,3631,3117,50949,2345142,384745,752.3715111,16.34552454,123.434392
3.14112E+12,35.4371,-92.4248,3685,4185,84964,3130307,473762,747.9825568,20.30203106,113.204779
3.14511E+12,35.3997,-91.6313,3863,4877,97951,4272823,527413,876.1170802,20.08427312,108.1429157
3.0291E+12,35.4014,-92.5935,4545,3433,71297,3129161,580706,911.4946111,20.76813283,169.1540926
3.14511E+12,35.2984,-91.7426,5300,4402,175690,5060910,433952,1149.684234,39.91140391,98.58064516
3.14111E+12,35.4689,-92.5094,4136,4604,106925,3899656,438634,847.0147698,23.22437011,95.27237185
3.14111E+12,35.543,-92.6813,2068,6322,131530,7650760,276417,1210.180323,20.80512496,43.72303069
3.14111E+12,35.4121,-92.3871,4390,3873,40539,813457,271131,210.0327911,10.46707978,70.00542215
3.14111E+12,35.4987,-92.4971,2954,2821,31408.2619,2076620,328034,736.1290323,11.13373339,116.2828784
3.14111E+12,35.5412,-92.4376,2453,4214,131198,3578517,512351,849.1971998,31.13383958,121.5830565
3.1451E+12,35.515,-91.6779,3393,3192,88413,3618968,336142,1133.761905,27.69830827,105.3076441
3.14511E+12,35.2409,-91.853,5928,5094,134384,5106160,644662,1002.387122,26.3808402,126.5531998
3.14511E+12,35.3866,-91.6392,4044,3852,97547,3130615,707846,812.7245587,25.32372793,183.7606438
3.14511E+12,35.4759,-91.7843,3703,4136,117405,3510894,632177,848.8621857,28.38612186,152.8474371
3.1451E+12,35.4089,-91.69,4120,1882,40405,3603442,323372,1914.687566,21.46918172,171.8235919
3.1411E+12,35.4735,-92.5968,2930,2966,87636,2607034,504320,878.9730276,29.54686446,170.0337154
3.1411E+12,35.4519,-92.3884,3994,1970,38634,1750000,495777,888.3248731,19.61116751,251.6634518
3.1411E+12,35.5957,-92.4019,2676,1664,40383.90476,1496520,213256,899.3509615,24.26917353,128.1586538
3.1451E+12,35.271,-91.851,5465,3976,60627,2293160,311364,576.750503,15.24823944,78.31086519
3.14111E+12,35.5095,-92.3367,3900,4636,91202,4642500,660392,1001.402071,19.67256255,142.4486626
3.14111E+12,35.4366,-92.3134,4235,4682,149039,4451793,832790,950.8314823,31.83233661,177.8705681
3.14111E+12,35.437,-92.3243,4180,6550,173850,5542958,706354,846.2531298,26.54198473,107.8403053
3.14112E+12,35.4841,-92.5432,2899,3641,80151,2744533,395641,753.7854985,22.01345784,108.66273
3.02911E+12,35.3569,-92.5683,4532,3778,113007,3252349,484940,860.8652726,29.91185813,128.3589201
3.02911E+12,35.4332,-92.839,4718,4052,134158,3567750,431788,880.4911155,33.10908193,106.5616979
3.02911E+12,35.3397,-92.5317,5066,4604,110526,3922418,440565,851.9587315,24.00651607,95.69178975
3.14111E+12,35.6264,-92.3589,2300,4002,77094,4817441,296186,1203.758371,19.26386807,74.00949525
3.02911E+12,35.3711,-92.5196,5009,4454,83480,4397189,473140,987.2449484,18.74270319,106.2281096
3.02911E+12,35.3148,-92.6349,5630,5072,158849,4281560,516060,844.1561514,31.31880915,101.7468454
3.14112E+12,35.3958,-92.4283,5298,5137,127677,4273158,774488,831.8392058,24.85438972,150.7665953
3.08311E+12,35.1873,-93.9717,3270,2492,1813,373288,125844,149.7945425,0.72752809,50.49919743
3.08311E+12,35.2667,-93.6221,5190,1795,16902,768534,73558,428.1526462,9.416155989,40.97938719
3.08311E+12,35.1708,-93.9812,2234,2593,1256,235530,64697,90.83301196,0.484381026,24.95063633
3.0231E+12,35.3644,-92.2028,5058,4832,134641,4550534,477100,941.7495861,27.86444536,98.73758278
3.0231E+12,35.518,-91.9388,3948,2778,70681,3361650,151763,1210.097192,25.44312455,54.63030958
3.0231E+12,35.4013,-91.8662,4698,4062,111128,4908630,412607,1208.426883,27.35795175,101.5773018
3.0231E+12,35.4038,-92.0286,5012,4151,79715,1948823,203626,469.4827752,19.20380631,49.05468562
3.0231E+12,35.3737,-92.0105,5662,4087,113564,1938084,186885,474.2069978,27.78664057,45.7266944
3.02311E+12,35.5071,-92.164,3795,4722,100612,3909257,629773,827.881618,21.30707327,133.3699704
3.0231E+12,35.5076,-92.1502,4186,3659,97216,4028126,306029,1100.881662,26.56900793,83.6373326
3.0231E+12,35.4799,-92.2036,4056,3944,130931,4293000,428516,1088.488844,33.19751521,108.6501014
3.0231E+12,35.6004,-91.8993,2990,3872,150386,4307760,203788,1112.541322,38.8393595,52.63119835
3.0231E+12,35.3917,-92.0788,4940,4702,163453,4786340,534270,1017.937048,34.76244151,113.6261165
3.0231E+12,35.464,-92.2011,4328,3943,108243,3589444,615266,910.3332488,27.45194015,156.040071
3.11511E+12,35.4632,-92.9462,3711,3766,93364,1969619,146431,523.0002655,24.79129049,38.88236856
3.02311E+12,35.417,-92.0121,5010,3512,138409,3531160,288724,1005.455581,39.41030752,82.21070615
3.02311E+12,35.526,-92.2304,3331,3621,73912,2948923,379023,814.3946424,20.41204087,104.6735708
3.02311E+12,35.4216,-92.0714,5163,4722,214.2857143,3909637,354734,827.9620923,0.045380287,75.12367641
3.0231E+12,35.4197,-92.0738,4600,4662,177286,4871620,571168,1044.963535,38.02788503,122.5156585
3.02311E+12,35.4225,-92.0878,4897,4545,124265,5271348,449497,1159.812541,27.3410341,98.89922992
3.0231E+12,35.4938,-92.2457,3778,4538,109526,3571074,673195,786.92684,24.1353019,148.3461877
3.02311E+12,35.4641,-91.8951,3243,5072,159311,4550008,602337,897.0835962,31.40989748,118.757295
3.0231E+12,35.3628,-92.1306,5258,5052,133769,4255022,710173,842.2450515,26.47842439,140.5726445
3.063E+12,35.5915,-91.6405,2390,3802,142354,4405780,196599,1158.805892,37.4418727,51.70936349
3.0671E+12,35.5128,-91.5132,1743,2414,49752,2458980,414147,1018.632974,20.6097763,171.5604805
3.02311E+12,35.3703,-92.1081,5120,4602,166313,4709940,366980,1023.45502,36.13928727,79.74358974
3.0231E+12,35.5089,-92.2038,4756,3944,80481,1951020,345133,494.6805274,20.40593306,87.50836714
3.0231E+12,35.4623,-91.8807,3584,3481,123627,3819440,424065,1097.224935,35.5147946,121.8227521
3.0231E+12,35.4631,-92.1944,4133,3677,119878,3250466,441146,883.9994561,32.60212129,119.9744357
3.0231E+12,35.492,-91.8091,3428,4682,135851,4355190,708779,930.1986331,29.01559163,151.3838103
3.02911E+12,35.3724,-92.6121,4056,4840,124714,3933957,570373,812.8010331,25.76735537,117.8456612
3.02911E+12,35.2888,-92.7705,6040,3927,138254,3922420,276398,998.8337153,35.20600968,70.38400815
3.02911E+12,35.3012,-92.6942,5838,7105,168406,5756455,737906,810.1977481,23.70246305,103.8572836
3.02911E+12,35.3399,-92.7708,4707,4983,118182,3874873,546461,777.6185029,23.71703793,109.6650612
3.02911E+12,35.4315,-92.6857,3229,5302,115107,4207188,594450,793.509619,21.71010939,112.1180687
3.02911E+12,35.3856,-92.5559,4760,4075,111754,3520788,432358,863.9970552,27.42429448,106.1001227
3.02911E+12,35.4137,-92.6204,4321,3950,84410,3124913,666138,791.1172152,21.36962025,168.6425316
3.0451E+12,35.3457,-92.2622,5777,8026,144765,9120277,818475,1136.341515,18.03700473,101.9779467
3.02911E+12,35.4128,-92.5548,4331,4189,117226,3261718,494626,778.6388159,27.98424445,118.0773454
3.0451E+12,35.3532,-92.4244,4964,3911,54361,2269451,522855,580.273843,13.89951419,133.688315
3.0451E+12,35.3532,-92.4164,5236,4368,154093,3916240,761573,896.5750916,35.27770147,174.352793
3.0451E+12,35.3408,-92.4434,4800,4295,128578,3507452,477790,816.6360885,29.93667055,111.2433062
